Nombre	lat	lon
L0	39,79006132994627	-4,087022524183635
L1	39,79016731581076	-4,087918000592301
L2	39,79007043572519	-4,0895253133065275
L3	39,791438052367106	-4,089809428580659
L4	39,79234170285565	-4,089886770913144
L5	39,79245560991683	-4,090111513259321
L6	39,79213610787481	-4,090051473307336
L7	39,79246381111296	-4,089673592316768
L8	39,79248415931453	-4,090391884819815
L9	39,79271416729058	-4,089625638261101
L10	39,79374104048299	-4,089407998919357
L11	39,79495159282984	-4,087562187130025
L12	39,79472036818703	-4,086300494624773
L13	39,79472037576999	-4,085936665333784
L14	39,79472038221228	-4,085572836042669
L15	39,794882693278545	-4,086300500737915
L16	39,794882700861564	-4,085936670591683
L17	39,7948827073039	-4,085572840445324
L18	39,79504501838483	-4,086300506851106
L19	39,795045025967895	-4,085936675849625
L20	39,794746305386774	-4,0845463782190485
L21	39,792542388287245	-4,0860933137515705
L22	39,79359436454474	-4,085229373061497
